id,question,score_sustain,score_iss,score_msci,score_esg1,score_sandp
1,투자할 때 기업이 탄소 배출이나 오염물질 관리 등 자연을 보호하는지 고려하시나요?,1,0,0.5,0,0
2,투자할 때 기업이 환경 관리 시스템을 구축하는 등 기후 변화에 적극 대응하는지 고려하시나요?,0,0.33,0,0,1
3,투자할 때 기업이 생산 과정에서 친환경적으로 제품과 서비스를 제공하는지 고려하시나요?,0,0.33,0,1,0
4,투자할 때 기업이 자원을 효율적으로 사용하고 배출량을 줄이는지 고려하시나요?,0,0.33,0,0,0
5,투자할 때 기업이 신재생에너지를 활용하는 등 친환경적으로 활동하는지 고려하시나요?,0,0,0.5,0,0
6,투자할 때 기업이 직원의 안전을 보장하고 소비자의 권리를 보호하는지 고려하시나요?,0.25,0,0.2,0,0
7,투자할 때 기업이 지역사회와의 관계를 잘 유지하고 공정하게 운영하는지 고려하시나요?,0.25,0.33,0.2,0,0
8,투자할 때 기업이 건강과 사회에 미치는 부정적인 영향을 줄이는지 고려하시나요?,0,0,0.2,0,0
9,투자할 때 기업이 직원에게 차별 없이 워라벨을 지켜주고 역량 개발을 지원하는지 고려하시나요?,0,0.33,0,1,0
10,"투자할 때 기업이 환경 보호, 직원 복지, 공정 거래 등 사회적 책임을 다하는지 고려하시나요?",0.25,0.33,0,0,0
11,투자할 때 기업이 개인정보 보호 등 사이버 보안을 잘 관리하는지 고려하시나요?,0.25,0,0.2,0,1
12,투자할 때 기업이 경영 구조를 유지하기 위해 이사회의 독립성과 전문성을 높이려는 것을 고려하시나요?,0.25,0.2,0.2,0.2,1
13,투자할 때 기업이 감사팀을 운영하고 회계 규정을 잘 지키는지 고려하시나요?,0,0.33,0,0.33,0.33
14,투자할 때 기업이 주주의 권리를 보호하고 이익을 돌려주는지 고려하시나요?,0,0.33,0,0.33,0
15,투자할 때 기업이 나라에 미치는 영향을 잘 관리하고  새로운 경영 방식을 도입하는 것을 고려하시나요?,0,0,0,0.33,0.33
