대분류,ticker,담당자,종목명,종목설명,종목명(영문),S&P(max100),Sustainability(max50),msci,ISS,ESG기준원,ESG기준원_E,ESG기준원_S,ESG기준원_G,CDP(climate),크롤링,전처리1차,전처리2차,라벨링(적합도),라벨링(관련도),라벨링(긍부정도),스코어링,시총,시총순위,기사발생량,기사발생량순위
전자,A005930,한재,삼성전자,"스마트폰, 반도체 및 디스플레이 패널 제조 | 글로벌 반도체 시장 선두주자, 5G/6G 및 AI 반도체 수요 증가로 기술력 강화 | 반도체 업황 회복과 고성능 반도체 수요 증가 기대","Samsung Electronics Co., Ltd.",57.0,17.9,AA,C+,A,A,A+,B+,A-,24.05.01,,,,,,,492000000000000,1,26500,17.0
전자,A000660,해리,SK하이닉스,반도체 메모리 칩 제조 | 글로벌 메모리 반도체 시장 선두주자 | 반도체 업황 회복에 따른 실적 개선 기대,SK hynix Inc.,70.0,18.8,A,C+,A,A,A+,A,B,24.05.01,,,,,,,133000000000000,2,5620,44.0
에너지,A373220,나연,LG에너지솔루션,전기차 배터리 제조 | 글로벌 전기차 배터리 시장에서 높은 점유율 | 전기차 수요 증가로 인한 성장 가능성 큼,"LG Energy Solution, Ltd.",54.0,24.1,BB,Nan,Nan,Nan,Nan,Nan,A-,24.05.01,,,,,,,92400000000000,3,2890,104.0
헬스케어,A207940,한재,삼성바이오로직스,바이오의약품 위탁생산(CMO) 및 개발 | 글로벌 CMO 시장에서 선도적 위치 | 바이오의약품 수요 증가로 지속적인 성장 예상,"Samsung Biologics Co., Ltd.",69.0,17.6,B,C,A+,A,A,A+,A-,24.05.01,,,,,,,59100000000000,4,685,126.0
차량,A005380,나연,현대차,"자동차 제조 및 판매 | 글로벌 자동차 시장에서 상위권 위치, 전기차 및 자율주행 투자 확대 | 전기차와 자율주행 기술로 미래 성장 동력 확보",Hyundai Motor Company,75.0,27.5,CCC,C-,A,A,A,B+,A,24.05.01,,,,,,,49300000000000,5,11100,29.0
차량,A000270,지헌,기아,자동차 제조 및 판매 | 글로벌 자동차 시장에서 경쟁력 강화 | 전기차 라인업 확대를 통한 시장 점유율 증가 기대,Kia Corporation,73.0,24.5,B,C,B,A,A+,C,A,24.05.01,,,,,,,44300000000000,6,5440,47.0
헬스케어,A068270,나연,셀트리온,바이오의약품 개발 및 생산 | 바이오시밀러 분야에서 글로벌 경쟁력 보유 | 신제품 출시 및 글로벌 시장 확대를 통한 성장 전망,"Celltrion, Inc.",69.0,29.8,B,C,B,B+,A+,C,Nan,24.05.01,24.05.05,24.05.02,24.05.04,24.05.04,24.05.04,,41700000000000,7,901,117.0
소재,A005490,나연,포스코 홀딩스,철강 제조 및 판매 | 글로벌 철강 시장에서 상위권 위치 | 친환경 철강 기술 개발로 지속 가능한 성장 기대,POSCO Holdings Inc.,64.0,24.8,A,C,A+,A,A+,A+,A-,24.05.01,,,,,,,35700000000000,8,857,120.0
에너지,A006400,한재,삼성SDI,전기차 배터리 및 에너지 저장장치 제조 | 고성능 배터리와 에너지 저장 시스템(ESS) 기술력 확보 | 전기차 및 ESS 수요 증가로 실적 개선 예상,"Samsung SDI Co., Ltd.",75.0,13.7,A,C+,A,A+,A+,B+,B,24.05.15,,,,,,,32400000000000,9,2460,103.0
화학,A051910,지헌,LG화학,"화학 제품 및 전지 제조 | 글로벌 화학 산업에서 선도적 위치, 친환경 및 바이오 소재 개발 강화 | 친환경 소재 개발로 미래 성장 동력 확보","LG Chem, Ltd.",65.0,22.2,A,C-,A,B+,A+,A,A-,24.05.01,24.05.05,24.05.09(보류),,,,,31000000000000,10,1940,89.0
미디어,A035420,해리,NAVER,"온라인 플랫폼 및 검색 포털 운영 | 국내 최대 인터넷 포털 및 플랫폼 기업, AI와 메타버스 사업 확장 | 콘텐츠, 핀테크 및 신사업 확대로 성장 지속 예상",NAVER Corporation,44.0,15.6,AA,B-,A+,A,A+,A+,A-,24.05.01,,,,,,,30400000000000,11,62600,10.0
건설,A028260,나연,삼성물산,"건설, 상사, 패션 등 종합상사 | 다양한 사업 포트폴리오로 안정적 수익 구조 확보 | 건설 및 바이오 분야에서의 성장 기대",Samsung C&T Corporation,73.0,30.4,A,C,A+,A+,A+,A+,A,24.05.01,,,,,,,29400000000000,12,7350,36.0
금융,A105560,나연,KB금융,금융 서비스 제공 | 국내 주요 금융 그룹 중 하나 | 디지털 금융 강화로 수익성 개선 예상,KB Financial Group Inc.,86.0,20.0,AAA,C-,A+,A+,A+,A+,A-,24.05.01,,,,,,,28000000000000,13,28100,16.0
미디어,A035720,지헌,카카오,"모바일 메신저, 온라인 광고 및 게임 | 국내 모바일 플랫폼 시장에서 높은 점유율 | 금융 및 콘텐츠 사업 확장으로 성장 가능성 큼",Kakao Corp,67.0,21.1,A,C,A,A+,A+,B+,A,24.05.01,,,,,,,23900000000000,14,109000,4.0
차량,A012330,한재,현대모비스,자동차 부품 제조 및 판매 | 글로벌 자동차 부품 시장에서 경쟁력 보유 | 전기차 부품 개발로 미래 성장 동력 확보,"Hyundai Mobis Co., Ltd.",75.0,11.4,B,C,A,A+,A+,B+,A-,24.05.03,,,,,,,23900000000000,15,667,145.0
금융,A055550,한재,신한지주,금융 서비스 제공 | 국내 주요 금융 그룹 중 하나 | 디지털 전환 및 글로벌 사업 확대로 성장 전망,"Shinhan Financial Group Co., Ltd.",77.0,23.2,AA,C-,A+,A+,A+,A+,A,24.05.15,,,,,,,23600000000000,16,3140,71.0
소재,A003670,지헌,포스코퓨처엠,2차전지 소재 및 화학 제품 제조 | 2차전지 소재 분야에서 경쟁력 강화 | 전기차 배터리 소재 수요 증가로 인한 성장 기대,POSCO FutureM Corporation,69.0,25.8,BBB,C-,A,A,A+,A,B,진행중(한재),,,,,,,23500000000000,17,1260,107.0
금융,A032830,한재,삼성생명,생명보험 서비스 제공 | 국내 생명보험 시장에서 선도적 위치 | 헬스케어 서비스 강화로 수익성 개선 예상,"Samsung Life Insurance Co., Ltd.",59.0,19.4,A,C-,A,A+,A+,B+,C,24.05.01,,,,,,,18500000000000,18,5780,43.0
금융,A086790,나연,하나금융지주,금융 서비스 제공 | 국내 주요 금융 그룹 중 하나 | 글로벌 사업 확대로 성장 가능성 확대,Hana Financial Group Inc.,82.0,21.7,AA,C-,A,A+,A+,A,A-,24.05.01,,,,,,,16900000000000,19,4800,54.0
전자,A066570,나연,LG전자,가전제품 및 전자기기 제조 | 글로벌 가전 시장에서 상위권 위치 | 프리미엄 가전 및 전장 사업 확대를 통한 성장 기대,,,,,,,,,,,24.05.01,,,,,,,15600000000000,21,7490,35.0
에너지,A015760,지헌,한국전력,전력 생산 및 공급 | 국내 전력 시장 독점 기업 | 에너지 전환 정책에 따른 수익성 개선 예상,,,,,,,,,,,,,,,,,,14100000000000,23,28400,15.0
금융,A323410,나연,카카오뱅크,인터넷 전문은행 서비스 제공 | 국내 인터넷 은행 중 높은 시장 점유율 | 금융 서비스 다각화로 성장 가능성 큼,,26.0,29.8,,,,,,,,24.05.01,24.05.05,24.05.08,24.05.05,24.05.05,24.05.05,,13100000000000,25,5570,45.0
정보기술,A018260,지헌,삼성에스디에스,IT 서비스 및 솔루션 제공 | 국내 IT 서비스 시장에서 선도적 위치 | 클라우드 및 AI 사업 확대로 성장 전망,,,,,,,,,,,24.05.01,,,,,,,12700000000000,27,300,145.0
생활소비재,A033780,지헌,KT&G,담배 및 인삼 제품 제조 | 국내 담배 시장에서 높은 점유율 | 해외 시장 확대를 통한 성장 가능성 모색,,,,,,,,,,,,,,,,,,12200000000000,28,57200,11.0
미디어,A259960,나연,크래프톤,게임 개발 및 서비스 제공 | 글로벌 게임 시장에서 인기 게임 보유 | 신작 출시 및 글로벌 시장 확대로 성장 기대,,16.0,17.5,,,,,,,,24.05.01,24.05.05,24.05.04,24.05.07,24.05.07,24.05.07,,11900000000000,29,363,141.0
정보기술,A017670,지헌,SK텔레콤, 이동통신 서비스 제공 | 국내 이동통신 시장에서 선도적 위치 | 5G 및 AI 서비스 확대로 성장 가능성 큼,,,,,,,,,,,24.05.01,,,,,,,11300000000000,30,6940,37.0
전자,A009150,한재,삼성전기,전자 부품 제조 | 글로벌 전자 부품 시장에서 경쟁력 보유 | 전장 부품 및 5G 부품 수요 증가로 실적 개선 예상,,,,,,,,,,,24.05.10,,,,,,,11100000000000,31,23500,20.0
에너지,A096770,한재,sk이노베이션,정유 및 석유화학 제품 제조 | 국내 정유 산업에서 상위권 위치 | 배터리 사업 확대로 미래 성장 동력 확보,,,,,,,,,,,24.05.01,24.05.05,진행중(보류),,,,,11100000000000,32,2670,78.0
에너지,A034020,한재,두산에너빌리티, 발전 설비 및 플랜트 건설 | 국내 발전 설비 시장에서 경쟁력 보유 | 친환경 에너지 사업 확대로 성장 전망,,,,,,,,,,,오류,,,,,,,11000000000000,33,1800,92.0
금융,A316140,해리,우리금융지주,금융 서비스 제공 | 국내 주요 금융 그룹 중 하나 | 디지털 금융 강화로 수익성 개선 예상,,,,,,,,,,,24.05.01,,,,,,,10800000000000,36,4180,61.0
운송,A011200,한재,HMM,해운 및 물류 서비스 제공 | 국내 해운 시장에서 선도적 위치 | 글로벌 물류 수요 증가로 인한 실적 개선 기대,,,,,,,,,,,24.05.10,,,,,,,10800000000000,35,6760,39.0
중공업,A329180,지헌,HD현대중공업,조선 및 해양 플랜트 건설 | 글로벌 조선 시장에서 상위권 위치 | 친환경 선박 수요 증가로 성장 가능성 큼,,,,,,,,,,,,,,,,,,10500000000000,38,3340,69.0
중공업,A012450,나연,한화에어로스페이스,항공우주 및 방산 제품 제조 | 국내 방산 산업에서 경쟁력 보유 | 우주 산업 진출로 미래 성장 동력 확보,,,,,,,,,,,24.05.01,,,,,,,10400000000000,39,300,145.0
정보기술,A030200,한재,KT,"통신 서비스 제공 | 국내 통신 시장에서 상위권 위치, 클라우드 및 AI 사업 확장 | 5G 및 디지털 전환 사업 확대로 성장 전망",,,,,,,,,,,24.05.13,,,,,,,9720000000000,40,57200,11.0
미디어,A352820,지헌,하이브,엔터테인먼트 및 음악 제작 | 글로벌 음악 시장에서 인기 아티스트 보유 | 콘텐츠 및 IP 사업 다각화로 성장 가능성 확대,,,,,,,,,,,24.05.01,,,,,,,9580000000000,41,3450,68.0
소재,A010130,지헌,고려아연,"비철금속 제련 및 가공 | 아연, 구리 등 비철금속 분야에서 글로벌 경쟁력 보유, 친환경 및 배터리 소재 확장 | 친환경 제련 기술 개발로 성장 기대",,,,,,,,,,,24.05.01,,,,,,,9450000000000,42,3090,72.0
에너지,A450080,지헌,에코프로머티리얼,2차전지 소재 및 친환경 기술 개발 | 친환경 소재 및 재활용 소재 분야에서 경쟁력 강화 | 전기차 배터리 및 순환경제 구축으로 성장 전망,,,,,,,,,,,,,,,,,,9020000000000,44,300,145.0
화학,A010950,나연,S-Oil,정유 및 석유화학 제품 제조 | 국내 정유 산업에서 경쟁력 보유 | 석유화학 사업 확대를 통한 성장 기대,,,,,,,,,,,24.05.01,24.05.05,24.05.01(보류),,,,,8840000000000,45,306000,1.0
중공업,A042660,나연,한화오션,해양 방산 제품 제조 | 국내 방산 산업에서 경쟁력 보유 | 해양 방산 사업 확대로 미래 성장 가능성 확보,,,,,,,,,,,,,,,,,,8460000000000,46,3220,70.0
중공업,A009540,지헌,HD한국조선해양,조선 및 해양 플랜트 건설 | 글로벌 조선 시장에서 상위권 위치 | 친환경 선박 수요 증가로 성장 가능성 큼,,,,,,,,,,,,,,,,,,8380000000000,47,1330,105.0
